Date,Action,Ticker,Price,Reason,Balance
2022-01-05,BUY,GOOGL,136.65,RSI: 29.9,0.0
2022-01-28,SELL,GOOGL,132.26,💤 資金卡死 (23天),963.95
2022-02-03,BUY,META,235.91,RSI: 23.9,0.0
2022-02-22,SELL,META,200.51,💀 止損 (-15%),815.6
2022-02-22,BUY,TSLA,273.84,RSI: 34.3,0.0
2022-03-10,SELL,TSLA,279.43,💤 資金卡死 (16天),828.2
2022-03-10,BUY,KO,51.02,RSI: 31.7,0.0
2022-03-28,SELL,KO,54.99,💤 資金卡死 (18天),888.64
2022-04-11,BUY,AMD,97.37,RSI: 29.5,0.0
2022-05-04,SELL,AMD,99.42,💤 資金卡死 (23天),903.31
2022-05-05,BUY,AMZN,116.41,RSI: 24.1,0.0
2022-05-26,SELL,AMZN,111.08,💤 資金卡死 (21天),858.04
2022-06-13,BUY,META,162.98,RSI: 32.6,0.0
2022-06-29,SELL,META,162.66,💤 資金卡死 (16天),852.37
2022-08-29,BUY,MSFT,257.72,RSI: 33.2,0.0
2022-09-14,SELL,MSFT,245.08,💤 資金卡死 (16天),806.66
2022-09-23,BUY,COST,445.58,RSI: 23.9,0.0
2022-10-10,SELL,COST,445.49,💤 資金卡死 (17天),802.51
2022-10-10,BUY,NVDA,11.65,RSI: 34.4,0.0
2022-10-26,SELL,NVDA,12.88,💤 資金卡死 (16天),882.6
2022-10-27,BUY,META,97.18,RSI: 25.6,0.0
2022-11-14,SELL,META,113.33,💤 資金卡死 (18天),1024.98
2022-11-15,BUY,UNH,471.06,RSI: 30.7,0.0
2022-12-01,SELL,UNH,502.8,💤 資金卡死 (16天),1089.92
2022-12-14,BUY,TSLA,156.8,RSI: 29.9,0.0
2022-12-22,SELL,TSLA,125.35,💀 止損 (-15%),867.71
2022-12-22,BUY,TSLA,125.35,RSI: 7.9,0.0
