Date,Action,Ticker,Price,Reason,Balance
2023-01-03,BUY,PEP,162.5,RSI: 33.4,0.0
2023-01-24,SELL,PEP,154.6,💤 資金卡死 (21天),947.49
2023-02-22,BUY,NFLX,33.49,RSI: 32.1,0.0
2023-03-23,SELL,NFLX,32.04,💤 資金卡死 (29天),902.53
2023-04-20,BUY,TSLA,162.99,RSI: 28.8,0.0
2023-05-08,SELL,TSLA,171.79,💤 資金卡死 (18天),947.15
2023-05-18,BUY,KO,57.82,RSI: 32.4,0.0
2023-06-05,SELL,KO,55.93,💤 資金卡死 (18天),912.29
2023-06-26,BUY,GOOGL,117.45,RSI: 32.3,0.0
2023-07-12,SELL,GOOGL,118.04,💤 資金卡死 (16天),912.83
2023-07-12,BUY,UNH,430.89,RSI: 27.7,0.0
2023-07-28,SELL,UNH,479.75,💤 資金卡死 (16天),1012.09
2023-08-11,BUY,NVDA,40.83,RSI: 32.6,0.0
2023-08-28,SELL,NVDA,46.8,💤 資金卡死 (17天),1155.94
2023-08-31,BUY,UNH,454.63,RSI: 21.8,0.0
2023-09-18,SELL,UNH,465.48,💤 資金卡死 (18天),1179.48
2023-09-21,BUY,NVDA,40.99,RSI: 8.2,0.0
2023-10-09,SELL,NVDA,45.24,💤 資金卡死 (18天),1297.66
2023-10-13,BUY,NFLX,35.57,RSI: 27.3,0.0
2023-10-30,SELL,NFLX,41.01,💤 資金卡死 (17天),1491.82
2023-12-20,BUY,UNH,495.77,RSI: 18.0,0.0
